year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,ALABAMA,AL,ELMORE,US PRESIDENT,OTHER,OTHER,163,23804,TOTAL
2000,ALABAMA,AL,ESCAMBIA,US PRESIDENT,AL GORE,DEMOCRAT,4523,11660,TOTAL
2000,ALABAMA,AL,ESCAMBIA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6975,11660,TOTAL
2000,ALABAMA,AL,ESCAMBIA,US PRESIDENT,RALPH NADER,GREEN,78,11660,TOTAL
2000,ALABAMA,AL,ESCAMBIA,US PRESIDENT,OTHER,OTHER,84,11660,TOTAL
2000,ALABAMA,AL,ETOWAH,US PRESIDENT,AL GORE,DEMOCRAT,17433,39348,TOTAL
2000,ALABAMA,AL,ETOWAH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,21087,39348,TOTAL
2000,ALABAMA,AL,ETOWAH,US PRESIDENT,RALPH NADER,GREEN,435,39348,TOTAL
2000,ALABAMA,AL,ETOWAH,US PRESIDENT,OTHER,OTHER,393,39348,TOTAL
2000,ALABAMA,AL,FAYETTE,US PRESIDENT,AL GORE,DEMOCRAT,3064,7808,TOTAL
2000,ALABAMA,AL,FAYETTE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4582,7808,TOTAL
2000,ALABAMA,AL,FAYETTE,US PRESIDENT,RALPH NADER,GREEN,60,7808,TOTAL
2000,ALABAMA,AL,FAYETTE,US PRESIDENT,OTHER,OTHER,102,7808,TOTAL
2000,ALABAMA,AL,FRANKLIN,US PRESIDENT,AL GORE,DEMOCRAT,4793,11103,TOTAL
2000,ALABAMA,AL,FRANKLIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6119,11103,TOTAL
2000,ALABAMA,AL,FRANKLIN,US PRESIDENT,RALPH NADER,GREEN,72,11103,TOTAL
2000,ALABAMA,AL,FRANKLIN,US PRESIDENT,OTHER,OTHER,119,11103,TOTAL
2000,ALABAMA,AL,GENEVA,US PRESIDENT,AL GORE,DEMOCRAT,2769,9559,TOTAL
2000,ALABAMA,AL,GENEVA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6588,9559,TOTAL
2000,ALABAMA,AL,GENEVA,US PRESIDENT,RALPH NADER,GREEN,97,9559,TOTAL
2000,ALABAMA,AL,GENEVA,US PRESIDENT,OTHER,OTHER,105,9559,TOTAL
2000,ALABAMA,AL,GREENE,US PRESIDENT,AL GORE,DEMOCRAT,3504,4396,TOTAL
2000,ALABAMA,AL,GREENE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,850,4396,TOTAL
2000,ALABAMA,AL,GREENE,US PRESIDENT,RALPH NADER,GREEN,24,4396,TOTAL
2000,ALABAMA,AL,GREENE,US PRESIDENT,OTHER,OTHER,18,4396,TOTAL
2000,ALABAMA,AL,HALE,US PRESIDENT,AL GORE,DEMOCRAT,4652,7731,TOTAL
2000,ALABAMA,AL,HALE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2984,7731,TOTAL
2000,ALABAMA,AL,HALE,US PRESIDENT,RALPH NADER,GREEN,43,7731,TOTAL
2000,ALABAMA,AL,HALE,US PRESIDENT,OTHER,OTHER,52,7731,TOTAL
2000,ALABAMA,AL,HENRY,US PRESIDENT,AL GORE,DEMOCRAT,2782,6932,TOTAL
2000,ALABAMA,AL,HENRY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4054,6932,TOTAL
2000,ALABAMA,AL,HENRY,US PRESIDENT,RALPH NADER,GREEN,48,6932,TOTAL
2000,ALABAMA,AL,HENRY,US PRESIDENT,OTHER,OTHER,48,6932,TOTAL
2000,ALABAMA,AL,HOUSTON,US PRESIDENT,AL GORE,DEMOCRAT,9412,32057,TOTAL
2000,ALABAMA,AL,HOUSTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22150,32057,TOTAL
2000,ALABAMA,AL,HOUSTON,US PRESIDENT,RALPH NADER,GREEN,257,32057,TOTAL
2000,ALABAMA,AL,HOUSTON,US PRESIDENT,OTHER,OTHER,238,32057,TOTAL
2000,ALABAMA,AL,JACKSON,US PRESIDENT,AL GORE,DEMOCRAT,9066,17906,TOTAL
2000,ALABAMA,AL,JACKSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8475,17906,TOTAL
2000,ALABAMA,AL,JACKSON,US PRESIDENT,RALPH NADER,GREEN,184,17906,TOTAL
2000,ALABAMA,AL,JACKSON,US PRESIDENT,OTHER,OTHER,181,17906,TOTAL
2000,ALABAMA,AL,JEFFERSON,US PRESIDENT,AL GORE,DEMOCRAT,129889,273763,TOTAL
2000,ALABAMA,AL,JEFFERSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,138491,273763,TOTAL
2000,ALABAMA,AL,JEFFERSON,US PRESIDENT,RALPH NADER,GREEN,3393,273763,TOTAL
2000,ALABAMA,AL,JEFFERSON,US PRESIDENT,OTHER,OTHER,1990,273763,TOTAL
2000,ALABAMA,AL,LAMAR,US PRESIDENT,AL GORE,DEMOCRAT,2653,7249,TOTAL
2000,ALABAMA,AL,LAMAR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4470,7249,TOTAL
2000,ALABAMA,AL,LAMAR,US PRESIDENT,RALPH NADER,GREEN,57,7249,TOTAL
2000,ALABAMA,AL,LAMAR,US PRESIDENT,OTHER,OTHER,69,7249,TOTAL
2000,ALABAMA,AL,LAUDERDALE,US PRESIDENT,AL GORE,DEMOCRAT,13875,32137,TOTAL
2000,ALABAMA,AL,LAUDERDALE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17478,32137,TOTAL
2000,ALABAMA,AL,LAUDERDALE,US PRESIDENT,RALPH NADER,GREEN,354,32137,TOTAL
2000,ALABAMA,AL,LAUDERDALE,US PRESIDENT,OTHER,OTHER,430,32137,TOTAL
2000,ALABAMA,AL,LAWRENCE,US PRESIDENT,AL GORE,DEMOCRAT,6296,12185,TOTAL
2000,ALABAMA,AL,LAWRENCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5671,12185,TOTAL
2000,ALABAMA,AL,LAWRENCE,US PRESIDENT,RALPH NADER,GREEN,63,12185,TOTAL
2000,ALABAMA,AL,LAWRENCE,US PRESIDENT,OTHER,OTHER,155,12185,TOTAL
2000,ALABAMA,AL,LEE,US PRESIDENT,AL GORE,DEMOCRAT,14574,38264,TOTAL
2000,ALABAMA,AL,LEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22433,38264,TOTAL
2000,ALABAMA,AL,LEE,US PRESIDENT,RALPH NADER,GREEN,895,38264,TOTAL
2000,ALABAMA,AL,LEE,US PRESIDENT,OTHER,OTHER,362,38264,TOTAL
2000,ALABAMA,AL,LIMESTONE,US PRESIDENT,AL GORE,DEMOCRAT,8992,23634,TOTAL
2000,ALABAMA,AL,LIMESTONE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14204,23634,TOTAL
2000,ALABAMA,AL,LIMESTONE,US PRESIDENT,RALPH NADER,GREEN,193,23634,TOTAL
2000,ALABAMA,AL,LIMESTONE,US PRESIDENT,OTHER,OTHER,245,23634,TOTAL
2000,ALABAMA,AL,LOWNDES,US PRESIDENT,AL GORE,DEMOCRAT,4557,6243,TOTAL
2000,ALABAMA,AL,LOWNDES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1638,6243,TOTAL
2000,ALABAMA,AL,LOWNDES,US PRESIDENT,RALPH NADER,GREEN,18,6243,TOTAL
2000,ALABAMA,AL,LOWNDES,US PRESIDENT,OTHER,OTHER,30,6243,TOTAL
2000,ALABAMA,AL,MACON,US PRESIDENT,AL GORE,DEMOCRAT,7665,8831,TOTAL
2000,ALABAMA,AL,MACON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1091,8831,TOTAL
2000,ALABAMA,AL,MACON,US PRESIDENT,RALPH NADER,GREEN,31,8831,TOTAL
2000,ALABAMA,AL,MACON,US PRESIDENT,OTHER,OTHER,44,8831,TOTAL
2000,ALABAMA,AL,MADISON,US PRESIDENT,AL GORE,DEMOCRAT,48199,113318,TOTAL
